nome,siglaPartido,siglaUf,urlFoto
BETO FARO,PT,PA,http://www.camara.leg.br/internet/deputado/bandep/141335.jpg
BETO MANSUR,MDB,SP,http://www.camara.leg.br/internet/deputado/bandep/73437.jpg
BETO ROSADO,PP,RN,http://www.camara.leg.br/internet/deputado/bandep/178948.jpg
BETO SALAME,PP,PA,http://www.camara.leg.br/internet/deputado/bandep/178906.jpg
BILAC PINTO,DEM,MG,http://www.camara.leg.br/internet/deputado/bandep/141513.jpg
BOHN GASS,PT,RS,http://www.camara.leg.br/internet/deputado/bandep/160538.jpg
BONIFÁCIO DE ANDRADA,DEM,MG,http://www.camara.leg.br/internet/deputado/bandep/74650.jpg
BRUNA FURLAN,PSDB,SP,http://www.camara.leg.br/internet/deputado/bandep/160589.jpg
BRUNNY,PR,MG,http://www.camara.leg.br/internet/deputado/bandep/178999.jpg
BRUNO ARAÚJO,PSDB,PE,http://www.camara.leg.br/internet/deputado/bandep/141394.jpg
CABO DACIOLO,PATRI,RJ,http://www.camara.leg.br/internet/deputado/bandep/178938.jpg
CABO SABINO,AVANTE,CE,http://www.camara.leg.br/internet/deputado/bandep/178865.jpg
CABUÇU BORGES,MDB,AP,http://www.camara.leg.br/internet/deputado/bandep/105112.jpg
CACÁ LEÃO,PP,BA,http://www.camara.leg.br/internet/deputado/bandep/93083.jpg
CAETANO,PT,BA,http://www.camara.leg.br/internet/deputado/bandep/178853.jpg
CAIO NARCIO,PSDB,MG,http://www.camara.leg.br/internet/deputado/bandep/178891.jpg
CAJAR NARDES,PODE,RS,http://www.camara.leg.br/internet/deputado/bandep/194261.jpg
CAPITÃO AUGUSTO,PR,SP,http://www.camara.leg.br/internet/deputado/bandep/178829.jpg
CAPITÃO FÁBIO ABREU,PR,PI,http://www.camara.leg.br/internet/deputado/bandep/178924.jpg
CARLOS ANDRADE,PHS,RR,http://www.camara.leg.br/internet/deputado/bandep/178958.jpg
CARLOS BEZERRA,MDB,MT,http://www.camara.leg.br/internet/deputado/bandep/141401.jpg
CARLOS GOMES,PRB,RS,http://www.camara.leg.br/internet/deputado/bandep/178962.jpg
CARLOS HENRIQUE GAGUIM,DEM,TO,http://www.camara.leg.br/internet/deputado/bandep/178993.jpg
CARLOS MANATO,PSL,ES,http://www.camara.leg.br/internet/deputado/bandep/74163.jpg
CARLOS MELLES,DEM,MG,http://www.camara.leg.br/internet/deputado/bandep/74651.jpg
CARLOS SAMPAIO,PSDB,SP,http://www.camara.leg.br/internet/deputado/bandep/74262.jpg
CARLOS ZARATTINI,PT,SP,http://www.camara.leg.br/internet/deputado/bandep/141398.jpg
CARMEN ZANOTTO,PPS,SC,http://www.camara.leg.br/internet/deputado/bandep/164360.jpg
CÉLIO SILVEIRA,PSDB,GO,http://www.camara.leg.br/internet/deputado/bandep/178876.jpg
CELSO JACOB,MDB,RJ,http://www.camara.leg.br/internet/deputado/bandep/73568.jpg
CELSO MALDANER,MDB,SC,http://www.camara.leg.br/internet/deputado/bandep/141405.jpg
CELSO PANSERA,PT,RJ,http://www.camara.leg.br/internet/deputado/bandep/72912.jpg
CELSO RUSSOMANNO,PRB,SP,http://www.camara.leg.br/internet/deputado/bandep/73441.jpg
CÉSAR HALUM,PRB,TO,http://www.camara.leg.br/internet/deputado/bandep/160576.jpg
CÉSAR MESSIAS,PSB,AC,http://www.camara.leg.br/internet/deputado/bandep/178838.jpg
CESAR SOUZA,PSD,SC,http://www.camara.leg.br/internet/deputado/bandep/73720.jpg
CHICO ALENCAR,PSOL,RJ,http://www.camara.leg.br/internet/deputado/bandep/74171.jpg
CHICO D'ANGELO,PDT,RJ,http://www.camara.leg.br/internet/deputado/bandep/141439.jpg
CHICO LOPES,PCdoB,CE,http://www.camara.leg.br/internet/deputado/bandep/141440.jpg
CHRISTIANE DE SOUZA YARED,PR,PR,http://www.camara.leg.br/internet/deputado/bandep/178928.jpg
CÍCERO ALMEIDA,PHS,AL,http://www.camara.leg.br/internet/deputado/bandep/178841.jpg
CLARISSA GAROTINHO,PROS,RJ,http://www.camara.leg.br/internet/deputado/bandep/178939.jpg
CLAUDIO CAJADO,PP,BA,http://www.camara.leg.br/internet/deputado/bandep/74537.jpg
CLEBER VERDE,PRB,MA,http://www.camara.leg.br/internet/deputado/bandep/141408.jpg
CONCEIÇÃO SAMPAIO,PSDB,AM,http://www.camara.leg.br/internet/deputado/bandep/178848.jpg
COVATTI FILHO,PP,RS,http://www.camara.leg.br/internet/deputado/bandep/178963.jpg
CRISTIANE BRASIL,PTB,RJ,http://www.camara.leg.br/internet/deputado/bandep/93472.jpg
DAGOBERTO NOGUEIRA,PDT,MS,http://www.camara.leg.br/internet/deputado/bandep/141411.jpg
DAMIÃO FELICIANO,PDT,PB,http://www.camara.leg.br/internet/deputado/bandep/74467.jpg
DÂMINA PEREIRA,PODE,MG,http://www.camara.leg.br/internet/deputado/bandep/178892.jpg
DANIEL ALMEIDA,PCdoB,BA,http://www.camara.leg.br/internet/deputado/bandep/74060.jpg
DANIEL COELHO,PPS,PE,http://www.camara.leg.br/internet/deputado/bandep/178916.jpg
DANIEL VILELA,MDB,GO,http://www.camara.leg.br/internet/deputado/bandep/144523.jpg
DANILO CABRAL,PSB,PE,http://www.camara.leg.br/internet/deputado/bandep/160528.jpg
DANILO FORTE,PSDB,CE,http://www.camara.leg.br/internet/deputado/bandep/62881.jpg
DANRLEI DE DEUS HINTERHOLZ,PSD,RS,http://www.camara.leg.br/internet/deputado/bandep/160552.jpg
DARCÍSIO PERONDI,MDB,RS,http://www.camara.leg.br/internet/deputado/bandep/73891.jpg
DÉCIO LIMA,PT,SC,http://www.camara.leg.br/internet/deputado/bandep/141413.jpg
DELEGADO ÉDER MAURO,PSD,PA,http://www.camara.leg.br/internet/deputado/bandep/178908.jpg
DELEGADO EDSON MOREIRA,PR,MG,http://www.camara.leg.br/internet/deputado/bandep/178893.jpg
DELEGADO FRANCISCHINI,PSL,PR,http://www.camara.leg.br/internet/deputado/bandep/160646.jpg
DELEGADO WALDIR,PSL,GO,http://www.camara.leg.br/internet/deputado/bandep/164359.jpg
DELEY,PTB,RJ,http://www.camara.leg.br/internet/deputado/bandep/74172.jpg
DIEGO ANDRADE,PSD,MG,http://www.camara.leg.br/internet/deputado/bandep/160588.jpg
DIEGO GARCIA,PODE,PR,http://www.camara.leg.br/internet/deputado/bandep/178929.jpg
DIMAS FABIANO,PP,MG,http://www.camara.leg.br/internet/deputado/bandep/160599.jpg
DOMINGOS NETO,PSD,CE,http://www.camara.leg.br/internet/deputado/bandep/143632.jpg
DOMINGOS SÁVIO,PSDB,MG,http://www.camara.leg.br/internet/deputado/bandep/160758.jpg
DR. JORGE SILVA,SD,ES,http://www.camara.leg.br/internet/deputado/bandep/160643.jpg
DR. SINVAL MALHEIROS,PODE,SP,http://www.camara.leg.br/internet/deputado/bandep/178830.jpg
EDIO LOPES,PR,RR,http://www.camara.leg.br/internet/deputado/bandep/141417.jpg
EDMAR ARRUDA,PSD,PR,http://www.camara.leg.br/internet/deputado/bandep/160578.jpg
EDMILSON RODRIGUES,PSOL,PA,http://www.camara.leg.br/internet/deputado/bandep/134812.jpg
EDUARDO BARBOSA,PSDB,MG,http://www.camara.leg.br/internet/deputado/bandep/74655.jpg
EDUARDO BOLSONARO,PSL,SP,http://www.camara.leg.br/internet/deputado/bandep/92346.jpg
EDUARDO CURY,PSDB,SP,http://www.camara.leg.br/internet/deputado/bandep/178977.jpg
EDUARDO DA FONTE,PP,PE,http://www.camara.leg.br/internet/deputado/bandep/141421.jpg
EFRAIM FILHO,DEM,PB,http://www.camara.leg.br/internet/deputado/bandep/141422.jpg
ELCIONE BARBALHO,MDB,PA,http://www.camara.leg.br/internet/deputado/bandep/74075.jpg
ELI CORRÊA FILHO,DEM,SP,http://www.camara.leg.br/internet/deputado/bandep/160532.jpg
ELIZEU DIONIZIO,PSB,MS,http://www.camara.leg.br/internet/deputado/bandep/181316.jpg
ELIZIANE GAMA,PPS,MA,http://www.camara.leg.br/internet/deputado/bandep/178883.jpg
ELMAR NASCIMENTO,DEM,BA,http://www.camara.leg.br/internet/deputado/bandep/178854.jpg
ENIO VERRI,PT,PR,http://www.camara.leg.br/internet/deputado/bandep/132504.jpg
ERIKA KOKAY,PT,DF,http://www.camara.leg.br/internet/deputado/bandep/160575.jpg
ERIVELTON SANTANA,PATRI,BA,http://www.camara.leg.br/internet/deputado/bandep/99654.jpg
EROS BIONDINI,PROS,MG,http://www.camara.leg.br/internet/deputado/bandep/160640.jpg
ESPERIDIÃO AMIN,PP,SC,http://www.camara.leg.br/internet/deputado/bandep/160649.jpg
EURICELIA CARDOSO,PP,AP,http://www.camara.leg.br/internet/deputado/bandep/202915.jpg
EVAIR VIEIRA DE MELO,PP,ES,http://www.camara.leg.br/internet/deputado/bandep/178871.jpg
EVANDRO GUSSI,PV,SP,http://www.camara.leg.br/internet/deputado/bandep/178828.jpg
EVANDRO ROMAN,PSD,PR,http://www.camara.leg.br/internet/deputado/bandep/178930.jpg
EXPEDITO NETTO,PSD,RO,http://www.camara.leg.br/internet/deputado/bandep/178953.jpg
EZEQUIEL FONSECA,PP,MT,http://www.camara.leg.br/internet/deputado/bandep/178904.jpg
EZEQUIEL TEIXEIRA,PODE,RJ,http://www.camara.leg.br/internet/deputado/bandep/178941.jpg
FÁBIO FARIA,PSD,RN,http://www.camara.leg.br/internet/deputado/bandep/141428.jpg
FABIO GARCIA,DEM,MT,http://www.camara.leg.br/internet/deputado/bandep/178905.jpg
FÁBIO MITIDIERI,PSD,SE,http://www.camara.leg.br/internet/deputado/bandep/178969.jpg
FÁBIO RAMALHO,MDB,MG,http://www.camara.leg.br/internet/deputado/bandep/141427.jpg
FABIO REIS,MDB,SE,http://www.camara.leg.br/internet/deputado/bandep/171623.jpg
FÁBIO SOUSA,PSDB,GO,http://www.camara.leg.br/internet/deputado/bandep/178877.jpg
FÁBIO TRAD,PSD,MS,http://www.camara.leg.br/internet/deputado/bandep/160587.jpg
FAUSTO PINATO,PP,SP,http://www.camara.leg.br/internet/deputado/bandep/66828.jpg
FELIPE BORNIER,PROS,RJ,http://www.camara.leg.br/internet/deputado/bandep/141430.jpg
FELIPE CARRERAS,PSB,PE,http://www.camara.leg.br/internet/deputado/bandep/72442.jpg
FELIPE MAIA,DEM,RN,http://www.camara.leg.br/internet/deputado/bandep/141429.jpg
FÉLIX MENDONÇA JÚNIOR,PDT,BA,http://www.camara.leg.br/internet/deputado/bandep/160666.jpg
FERNANDO COELHO FILHO,DEM,PE,http://www.camara.leg.br/internet/deputado/bandep/141431.jpg
FERNANDO TORRES,PSD,BA,http://www.camara.leg.br/internet/deputado/bandep/160676.jpg
FLÁVIA MORAIS,PDT,GO,http://www.camara.leg.br/internet/deputado/bandep/160598.jpg
FLAVIANO MELO,MDB,AC,http://www.camara.leg.br/internet/deputado/bandep/141434.jpg
FLAVINHO,PSC,SP,http://www.camara.leg.br/internet/deputado/bandep/178978.jpg
FLORIANO PESARO,PSDB,SP,http://www.camara.leg.br/internet/deputado/bandep/178979.jpg
FRANCISCO CHAPADINHA,PODE,PA,http://www.camara.leg.br/internet/deputado/bandep/178907.jpg
FRANCISCO FLORIANO,DEM,RJ,http://www.camara.leg.br/internet/deputado/bandep/160677.jpg
FREIRE JÚNIOR,MDB,TO,http://www.camara.leg.br/internet/deputado/bandep/74189.jpg
GABRIEL GUIMARÃES,PT,MG,http://www.camara.leg.br/internet/deputado/bandep/129037.jpg
GENECIAS NORONHA,SD,CE,http://www.camara.leg.br/internet/deputado/bandep/160669.jpg
